region	cohort	age	time	H10	H20	H30	H35	H40	H50	H60	H70	H80	H90
All Denmark	1987	18	2006	58110	663	149	12	1	3	0	1	0	1090
All Denmark	1987	19	2007	44770	13286	727	24	5	10	0	5	0	1402
All Denmark	1987	20	2008	29085	27057	2610	71	15	46	5	7	1	2792
All Denmark	1987	21	2009	22384	28947	7329	133	238	162	44	20	2	4155
All Denmark	1987	22	2010	18461	27595	11363	186	781	354	813	57	5	4960
All Denmark	1987	23	2011	16441	23456	13713	203	1618	1046	3498	191	9	5497
All Denmark	1987	24	2012	15050	18006	15136	187	2349	2926	6489	660	19	5382
All Denmark	1987	25	2013	13943	13129	16146	160	2808	5665	8043	2030	40	5040
All Denmark	1987	26	2014	13179	9577	16715	141	3112	8317	7623	4630	58	4379
All Denmark	1987	27	2015	12481	7548	17294	126	3259	10178	6038	7942	107	3475
All Denmark	1987	28	2016	12097	6413	17595	112	3544	11579	4459	11216	219	2441
All Denmark	1987	29	2017	11681	5559	17811	104	3610	12405	3102	13645	279	2130
