region	cohort	age	time	H10	H20	H30	H35	H40	H50	H60	H70	H80	H90
All Denmark	1987	18	2006	58110	663	149	12	1	3	0	1	0	1090
All Denmark	1987	19	2007	44770	13286	727	24	5	10	0	5	0	1402
All Denmark	1987	20	2008	29085	27057	2610	71	15	46	5	7	1	2792
All Denmark	1987	21	2009	22384	28947	7329	133	238	162	44	20	2	4155
All Denmark	1987	22	2010	18461	27595	11363	186	781	354	813	57	5	4960
All Denmark	1987	23	2011	16441	23456	13713	203	1618	1046	3498	191	9	5497
All Denmark	1987	24	2012	15050	18006	15136	187	2349	2926	6489	660	19	5382
All Denmark	1987	25	2013	13943	13129	16146	160	2808	5665	8043	2030	40	5040
All Denmark	1987	26	2014	13179	9577	16715	141	3112	8317	7623	4630	58	4379
All Denmark	1987	27	2015	12481	7548	17294	126	3259	10178	6038	7942	107	3475
All Denmark	1987	28	2016	12097	6413	17595	112	3544	11579	4459	11216	219	2441
All Denmark	1987	29	2017	11681	5559	17811	104	3610	12405	3102	13645	279	2130
Region Hovedstaden	1987	18	2006	15045	326	27	1	1	1	0	0	0	362
Region Hovedstaden	1987	19	2007	10762	5007	185	0	4	4	0	2	0	521
Region Hovedstaden	1987	20	2008	7500	9117	668	2	6	21	0	2	0	1271
Region Hovedstaden	1987	21	2009	6289	10828	1591	8	91	64	29	10	0	1749
Region Hovedstaden	1987	22	2010	5552	11133	2528	24	287	158	474	23	0	2253
Region Hovedstaden	1987	23	2011	5106	9823	3217	28	604	471	1900	88	0	2645
Region Hovedstaden	1987	24	2012	4726	7626	3691	36	881	1210	3551	331	3	2582
Region Hovedstaden	1987	25	2013	4413	5815	4058	30	1053	2206	4662	1044	9	2489
Region Hovedstaden	1987	26	2014	4162	4289	4324	29	1141	3231	4639	2585	19	2159
Region Hovedstaden	1987	27	2015	3891	3416	4529	24	1215	3965	3732	4673	44	1726
Region Hovedstaden	1987	28	2016	3651	2858	4576	22	1302	4559	2691	6732	109	1168
Region Hovedstaden	1987	29	2017	3419	2422	4604	21	1342	4806	1832	8207	144	1025
