region	age	time	sex	H10	H20	H30	H35	H40	H50	H60	H70	H80	H90
All Denmark	18	2006	Men	30002	184	61	12	1	1	0	0	0	641
All Denmark	18	2006	Total	58110	663	149	12	1	3	0	1	0	1090
All Denmark	18	2006	Women	28108	479	88	0	0	2	0	1	0	449
All Denmark	19	2007	Men	24812	5183	222	22	2	5	0	1	0	767
All Denmark	19	2007	Total	44770	13286	727	24	5	10	0	5	0	1402
All Denmark	19	2007	Women	19958	8103	505	2	3	5	0	4	0	635
All Denmark	20	2008	Men	17592	11207	1424	39	10	21	3	3	1	1362
All Denmark	20	2008	Total	29085	27057	2610	71	15	46	5	7	1	2792
All Denmark	20	2008	Women	11493	15850	1186	32	5	25	2	4	0	1430
All Denmark	21	2009	Men	13283	12247	4619	64	83	81	18	8	2	2075
All Denmark	21	2009	Total	22384	28947	7329	133	238	162	44	20	2	4155
All Denmark	21	2009	Women	9101	16700	2710	69	155	81	26	12	0	2080
All Denmark	22	2010	Men	10761	11788	7105	95	301	141	339	26	4	2428
All Denmark	22	2010	Total	18461	27595	11363	186	781	354	813	57	5	4960
All Denmark	22	2010	Women	7700	15807	4258	91	480	213	474	31	1	2532
All Denmark	23	2011	Men	9577	10129	8406	114	687	333	1476	89	6	2663
All Denmark	23	2011	Total	16441	23456	13713	203	1618	1046	3498	191	9	5497
All Denmark	23	2011	Women	6864	13327	5307	89	931	713	2022	102	3	2834
All Denmark	24	2012	Men	8802	8112	9156	103	1057	810	2744	306	12	2625
All Denmark	24	2012	Total	15050	18006	15136	187	2349	2926	6489	660	19	5382
All Denmark	24	2012	Women	6248	9894	5980	84	1292	2116	3745	354	7	2757
All Denmark	25	2013	Men	8193	6355	9668	98	1324	1599	3410	957	22	2452
All Denmark	25	2013	Total	13943	13129	16146	160	2808	5665	8043	2030	40	5040
All Denmark	25	2013	Women	5750	6774	6478	62	1484	4066	4633	1073	18	2588
All Denmark	26	2014	Men	7773	4987	9904	89	1523	2533	3289	2150	34	2156
All Denmark	26	2014	Total	13179	9577	16715	141	3112	8317	7623	4630	58	4379
All Denmark	26	2014	Women	5406	4590	6811	52	1589	5784	4334	2480	24	2223
All Denmark	27	2015	Men	7376	4143	10223	78	1653	3257	2683	3597	60	1814
All Denmark	27	2015	Total	12481	7548	17294	126	3259	10178	6038	7942	107	3475
All Denmark	27	2015	Women	5105	3405	7071	48	1606	6921	3355	4345	47	1661
All Denmark	28	2016	Men	7249	3625	10340	71	1870	3871	2057	5153	122	1320
All Denmark	28	2016	Total	12097	6413	17595	112	3544	11579	4459	11216	219	2441
All Denmark	28	2016	Women	4848	2788	7255	41	1674	7708	2402	6063	97	1121
All Denmark	29	2017	Men	7049	3197	10411	66	1896	4361	1481	6261	159	1204
All Denmark	29	2017	Total	11681	5559	17811	104	3610	12405	3102	13645	279	2130
All Denmark	29	2017	Women	4632	2362	7400	38	1714	8044	1621	7384	120	926
Region Hovedstaden	18	2006	Men	7727	94	4	1	1	1	0	0	0	211
Region Hovedstaden	18	2006	Total	15045	326	27	1	1	1	0	0	0	362
Region Hovedstaden	18	2006	Women	7318	232	23	0	0	0	0	0	0	151
Region Hovedstaden	19	2007	Men	5961	2045	48	0	2	2	0	0	0	266
Region Hovedstaden	19	2007	Total	10762	5007	185	0	4	4	0	2	0	521
Region Hovedstaden	19	2007	Women	4801	2962	137	0	2	2	0	2	0	255
Region Hovedstaden	20	2008	Men	4398	3830	328	0	4	9	0	0	0	531
Region Hovedstaden	20	2008	Total	7500	9117	668	2	6	21	0	2	0	1271
Region Hovedstaden	20	2008	Women	3102	5287	340	2	2	12	0	2	0	740
Region Hovedstaden	21	2009	Men	3619	4642	921	2	35	28	12	2	0	768
Region Hovedstaden	21	2009	Total	6289	10828	1591	8	91	64	29	10	0	1749
Region Hovedstaden	21	2009	Women	2670	6186	670	6	56	36	17	8	0	981
Region Hovedstaden	22	2010	Men	3156	4835	1492	12	97	55	209	7	0	1000
Region Hovedstaden	22	2010	Total	5552	11133	2528	24	287	158	474	23	0	2253
Region Hovedstaden	22	2010	Women	2396	6298	1036	12	190	103	265	16	0	1253
Region Hovedstaden	23	2011	Men	2911	4329	1901	17	244	168	822	38	0	1167
Region Hovedstaden	23	2011	Total	5106	9823	3217	28	604	471	1900	88	0	2645
Region Hovedstaden	23	2011	Women	2195	5494	1316	11	360	303	1078	50	0	1478
Region Hovedstaden	24	2012	Men	2721	3523	2144	20	370	357	1520	155	3	1117
Region Hovedstaden	24	2012	Total	4726	7626	3691	36	881	1210	3551	331	3	2582
Region Hovedstaden	24	2012	Women	2005	4103	1547	16	511	853	2031	176	0	1465
Region Hovedstaden	25	2013	Men	2535	2870	2344	17	469	648	1959	521	4	1081
Region Hovedstaden	25	2013	Total	4413	5815	4058	30	1053	2206	4662	1044	9	2489
Region Hovedstaden	25	2013	Women	1878	2945	1714	13	584	1558	2703	523	5	1408
Region Hovedstaden	26	2014	Men	2406	2229	2519	13	529	1018	1974	1237	12	939
Region Hovedstaden	26	2014	Total	4162	4289	4324	29	1141	3231	4639	2585	19	2159
Region Hovedstaden	26	2014	Women	1756	2060	1805	16	612	2213	2665	1348	7	1220
Region Hovedstaden	27	2015	Men	2277	1862	2633	11	578	1293	1628	2152	28	807
Region Hovedstaden	27	2015	Total	3891	3416	4529	24	1215	3965	3732	4673	44	1726
Region Hovedstaden	27	2015	Women	1614	1554	1896	13	637	2672	2104	2521	16	919
Region Hovedstaden	28	2016	Men	2160	1607	2650	8	642	1561	1212	3151	63	580
Region Hovedstaden	28	2016	Total	3651	2858	4576	22	1302	4559	2691	6732	109	1168
Region Hovedstaden	28	2016	Women	1491	1251	1926	14	660	2998	1479	3581	46	588
Region Hovedstaden	29	2017	Men	2043	1380	2655	8	647	1743	864	3824	81	549
Region Hovedstaden	29	2017	Total	3419	2422	4604	21	1342	4806	1832	8207	144	1025
Region Hovedstaden	29	2017	Women	1376	1042	1949	13	695	3063	968	4383	63	476
Region Midtjylland	18	2006	Men	7170	23	23	0	0	0	0	0	0	125
Region Midtjylland	18	2006	Total	13864	97	38	0	0	1	0	1	0	190
Region Midtjylland	18	2006	Women	6694	74	15	0	0	1	0	1	0	65
