cohort	sex	region	highest edu	receiving e	time	TABCELL	age
1987	Men	All Denmark	H10 Primary education	H10 Primary education	2017	2	29
1986	Men	All Denmark	H10 Primary education	H10 Primary education	2016	6	29
1985	Men	All Denmark	H10 Primary education	H10 Primary education	2015	1	29
1984	Men	All Denmark	H10 Primary education	H10 Primary education	2014	0	29
1983	Men	All Denmark	H10 Primary education	H10 Primary education	2013	0	29
1982	Men	All Denmark	H10 Primary education	H10 Primary education	2012	0	29
1981	Men	All Denmark	H10 Primary education	H10 Primary education	2011	0	29
1980	Men	All Denmark	H10 Primary education	H10 Primary education	2010	0	29
1979	Men	All Denmark	H10 Primary education	H10 Primary education	2009	0	29
1978	Men	All Denmark	H10 Primary education	H10 Primary education	2008	0	29
1977	Men	All Denmark	H10 Primary education	H10 Primary education	2007	0	29
1976	Men	All Denmark	H10 Primary education	H10 Primary education	2006	0	29
1987	Men	All Denmark	H10 Primary education	H15 Preparatory courses	2017	12	29
1986	Men	All Denmark	H10 Primary education	H15 Preparatory courses	2016	7	29
1985	Men	All Denmark	H10 Primary education	H15 Preparatory courses	2015	1	29
1984	Men	All Denmark	H10 Primary education	H15 Preparatory courses	2014	1	29
1983	Men	All Denmark	H10 Primary education	H15 Preparatory courses	2013	1	29
1982	Men	All Denmark	H10 Primary education	H15 Preparatory courses	2012	0	29
1981	Men	All Denmark	H10 Primary education	H15 Preparatory courses	2011	0	29
1980	Men	All Denmark	H10 Primary education	H15 Preparatory courses	2010	0	29
1979	Men	All Denmark	H10 Primary education	H15 Preparatory courses	2009	1	29
1978	Men	All Denmark	H10 Primary education	H15 Preparatory courses	2008	0	29
1977	Men	All Denmark	H10 Primary education	H15 Preparatory courses	2007	0	29
1976	Men	All Denmark	H10 Primary education	H15 Preparatory courses	2006	0	29
1987	Men	All Denmark	H10 Primary education	H20 Upper secondary education	2017	27	29
1986	Men	All Denmark	H10 Primary education	H20 Upper secondary education	2016	36	29
1985	Men	All Denmark	H10 Primary education	H20 Upper secondary education	2015	33	29
1984	Men	All Denmark	H10 Primary education	H20 Upper secondary education	2014	34	29
1983	Men	All Denmark	H10 Primary education	H20 Upper secondary education	2013	37	29
1982	Men	All Denmark	H10 Primary education	H20 Upper secondary education	2012	31	29
1981	Men	All Denmark	H10 Primary education	H20 Upper secondary education	2011	17	29
1980	Men	All Denmark	H10 Primary education	H20 Upper secondary education	2010	11	29
1979	Men	All Denmark	H10 Primary education	H20 Upper secondary education	2009	14	29
1978	Men	All Denmark	H10 Primary education	H20 Upper secondary education	2008	10	29
1977	Men	All Denmark	H10 Primary education	H20 Upper secondary education	2007	7	29
1976	Men	All Denmark	H10 Primary education	H20 Upper secondary education	2006	10	29
1987	Men	All Denmark	H10 Primary education	H29 Vocational Education and Training (VET), basic course	2017	2	29
1986	Men	All Denmark	H10 Primary education	H29 Vocational Education and Training (VET), basic course	2016	51	29
1985	Men	All Denmark	H10 Primary education	H29 Vocational Education and Training (VET), basic course	2015	219	29
1984	Men	All Denmark	H10 Primary education	H29 Vocational Education and Training (VET), basic course	2014	164	29
1983	Men	All Denmark	H10 Primary education	H29 Vocational Education and Training (VET), basic course	2013	131	29
1982	Men	All Denmark	H10 Primary education	H29 Vocational Education and Training (VET), basic course	2012	108	29
1981	Men	All Denmark	H10 Primary education	H29 Vocational Education and Training (VET), basic course	2011	117	29
1980	Men	All Denmark	H10 Primary education	H29 Vocational Education and Training (VET), basic course	2010	78	29
1979	Men	All Denmark	H10 Primary education	H29 Vocational Education and Training (VET), basic course	2009	47	29
1978	Men	All Denmark	H10 Primary education	H29 Vocational Education and Training (VET), basic course	2008	51	29
1977	Men	All Denmark	H10 Primary education	H29 Vocational Education and Training (VET), basic course	2007	63	29
1976	Men	All Denmark	H10 Primary education	H29 Vocational Education and Training (VET), basic course	2006	82	29
1987	Men	All Denmark	H10 Primary education	H30 Vocational Education and Training (VET)	2017	618	29
1986	Men	All Denmark	H10 Primary education	H30 Vocational Education and Training (VET)	2016	566	29
1985	Men	All Denmark	H10 Primary education	H30 Vocational Education and Training (VET)	2015	478	29
1984	Men	All Denmark	H10 Primary education	H30 Vocational Education and Training (VET)	2014	447	29
1983	Men	All Denmark	H10 Primary education	H30 Vocational Education and Training (VET)	2013	363	29
1982	Men	All Denmark	H10 Primary education	H30 Vocational Education and Training (VET)	2012	350	29
1981	Men	All Denmark	H10 Primary education	H30 Vocational Education and Training (VET)	2011	315	29
1980	Men	All Denmark	H10 Primary education	H30 Vocational Education and Training (VET)	2010	345	29
1979	Men	All Denmark	H10 Primary education	H30 Vocational Education and Training (VET)	2009	368	29
1978	Men	All Denmark	H10 Primary education	H30 Vocational Education and Training (VET)	2008	358	29
1977	Men	All Denmark	H10 Primary education	H30 Vocational Education and Training (VET)	2007	380	29
1976	Men	All Denmark	H10 Primary education	H30 Vocational Education and Training (VET)	2006	338	29
1987	Men	All Denmark	H10 Primary education	H35 Qualifying educational programmes	2017	5	29
1986	Men	All Denmark	H10 Primary education	H35 Qualifying educational programmes	2016	3	29
1985	Men	All Denmark	H10 Primary education	H35 Qualifying educational programmes	2015	5	29
1984	Men	All Denmark	H10 Primary education	H35 Qualifying educational programmes	2014	8	29
1983	Men	All Denmark	H10 Primary education	H35 Qualifying educational programmes	2013	8	29
1982	Men	All Denmark	H10 Primary education	H35 Qualifying educational programmes	2012	7	29
1981	Men	All Denmark	H10 Primary education	H35 Qualifying educational programmes	2011	8	29
1980	Men	All Denmark	H10 Primary education	H35 Qualifying educational programmes	2010	5	29
1979	Men	All Denmark	H10 Primary education	H35 Qualifying educational programmes	2009	6	29
1978	Men	All Denmark	H10 Primary education	H35 Qualifying educational programmes	2008	5	29
1977	Men	All Denmark	H10 Primary education	H35 Qualifying educational programmes	2007	5	29
1976	Men	All Denmark	H10 Primary education	H35 Qualifying educational programmes	2006	5	29
1987	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2017	23	29
1986	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2016	42	29
1985	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2015	24	29
1984	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2014	18	29
1983	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2013	36	29
1982	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2012	25	29
1981	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2011	27	29
1980	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2010	34	29
1979	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2009	31	29
1978	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2008	31	29
1977	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2007	38	29
1976	Men	All Denmark	H10 Primary education	H40 Short cycle higher education	2006	43	29
1987	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2017	90	29
1986	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2016	99	29
1985	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2015	102	29
1984	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2014	90	29
1983	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2013	83	29
1982	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2012	69	29
1981	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2011	59	29
1980	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2010	94	29
1979	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2009	80	29
1978	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2008	75	29
1977	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2007	77	29
1976	Men	All Denmark	H10 Primary education	H50 Vocational bachelors educations	2006	80	29
1987	Men	All Denmark	H10 Primary education	H60 Bachelors programmes	2017	28	29
1986	Men	All Denmark	H10 Primary education	H60 Bachelors programmes	2016	16	29
