sex	region	time	cohort	age	Part of pop with H10 Primary education	Part of pop with H20 Upper secondary education	Part of pop with H30 Vocational Education and Training (VET)	Part of pop with H35 Qualifying educational programmes	Part of pop with H40 Short cycle higher education	Part of pop with H50 Vocational bachelors educations	Part of pop with H60 Bachelors programmes	Part of pop with H70 Masters programmes	Part of pop with H80 PhD programmes	Part of pop with H90 Not stated	H10 Primary education	H20 Upper secondary education	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	H40 Short cycle higher education	H50 Vocational bachelors educations	H60 Bachelors programmes	H70 Masters programmes	H80 PhD programmes	H90 Not stated
Men	Albertslund	2017	1987	29	0.305	0.096	0.222	0.000	0.054	0.120	0.018	0.126	0.006	0.054	51	16	37	0	9	20	3	21	1	9
Men	All Denmark	2017	1987	29	0.195	0.089	0.289	0.002	0.053	0.121	0.041	0.174	0.004	0.033	7049	3197	10411	66	1896	4361	1481	6261	159	1204
Men	Allerød	2017	1987	29	0.152	0.106	0.288	0.000	0.030	0.121	0.045	0.227	0.000	0.030	10	7	19	0	2	8	3	15	0	2
Men	Assens	2017	1987	29	0.251	0.088	0.398	0.000	0.058	0.117	0.012	0.053	0.000	0.023	43	15	68	0	10	20	2	9	0	4
Men	Ballerup	2017	1987	29	0.285	0.095	0.302	0.004	0.062	0.099	0.012	0.107	0.000	0.033	69	23	73	1	15	24	3	26	0	8
Men	Billund	2017	1987	29	0.210	0.070	0.469	0.000	0.077	0.098	0.014	0.042	0.000	0.021	30	10	67	0	11	14	2	6	0	3
Men	Bornholm	2017	1987	29	0.282	0.056	0.472	0.000	0.007	0.070	0.028	0.063	0.000	0.021	40	8	67	0	1	10	4	9	0	3
Men	Brøndby	2017	1987	29	0.263	0.091	0.371	0.000	0.034	0.108	0.017	0.078	0.004	0.034	61	21	86	0	8	25	4	18	1	8
Men	Brønderslev	2017	1987	29	0.259	0.047	0.446	0.005	0.067	0.114	0.010	0.021	0.000	0.031	50	9	86	1	13	22	2	4	0	6
Men	Copenhagen	2017	1987	29	0.101	0.105	0.132	0.001	0.044	0.140	0.086	0.348	0.006	0.038	753	783	985	5	326	1050	642	2603	44	283
Men	Dragør	2017	1987	29	0.162	0.054	0.324	0.000	0.108	0.135	0.027	0.108	0.000	0.081	6	2	12	0	4	5	1	4	0	3
Men	Egedal	2017	1987	29	0.208	0.054	0.430	0.000	0.060	0.107	0.013	0.087	0.000	0.040	31	8	64	0	9	16	2	13	0	6
Men	Esbjerg	2017	1987	29	0.198	0.080	0.384	0.004	0.058	0.128	0.021	0.105	0.000	0.021	143	58	277	3	42	92	15	76	0	15
Men	Fanø	2017	1987	29	0.500	0.000	0.000	0.000	0.000	0.000	0.000	0.250	0.000	0.250	2	0	0	0	0	0	0	1	0	1
Men	Favrskov	2017	1987	29	0.207	0.064	0.384	0.000	0.089	0.158	0.010	0.069	0.010	0.010	42	13	78	0	18	32	2	14	2	2
Men	Faxe	2017	1987	29	0.271	0.083	0.453	0.000	0.044	0.077	0.006	0.050	0.006	0.011	49	15	82	0	8	14	1	9	1	2
Men	Fredensborg	2017	1987	29	0.270	0.074	0.301	0.000	0.061	0.086	0.031	0.098	0.006	0.074	44	12	49	0	10	14	5	16	1	12
Men	Fredericia	2017	1987	29	0.251	0.107	0.391	0.000	0.062	0.111	0.012	0.049	0.000	0.016	61	26	95	0	15	27	3	12	0	4
Men	Frederiksberg	2017	1987	29	0.080	0.083	0.097	0.000	0.044	0.129	0.091	0.432	0.006	0.038	84	87	102	0	46	136	96	454	6	40
Men	Frederikshavn	2017	1987	29	0.249	0.060	0.492	0.000	0.050	0.086	0.003	0.033	0.000	0.027	75	18	148	0	15	26	1	10	0	8
Men	Frederikssund	2017	1987	29	0.275	0.095	0.450	0.000	0.048	0.042	0.005	0.037	0.000	0.048	52	18	85	0	9	8	1	7	0	9
Men	Furesø	2017	1987	29	0.210	0.134	0.229	0.000	0.070	0.096	0.025	0.172	0.025	0.038	33	21	36	0	11	15	4	27	4	6
Men	Faaborg-Midtfyn	2017	1987	29	0.220	0.084	0.467	0.004	0.053	0.075	0.022	0.044	0.000	0.031	50	19	106	1	12	17	5	10	0	7
Men	Gentofte	2017	1987	29	0.151	0.099	0.133	0.000	0.052	0.160	0.043	0.287	0.012	0.062	49	32	43	0	17	52	14	93	4	20
Men	Gladsaxe	2017	1987	29	0.178	0.103	0.202	0.002	0.065	0.132	0.024	0.238	0.017	0.038	74	43	84	1	27	55	10	99	7	16
Men	Glostrup	2017	1987	29	0.240	0.097	0.320	0.000	0.080	0.091	0.006	0.143	0.000	0.023	42	17	56	0	14	16	1	25	0	4
Men	Greve	2017	1987	29	0.250	0.107	0.337	0.000	0.036	0.112	0.015	0.102	0.000	0.041	49	21	66	0	7	22	3	20	0	8
Men	Gribskov	2017	1987	29	0.299	0.080	0.401	0.007	0.007	0.102	0.022	0.066	0.000	0.015	41	11	55	1	1	14	3	9	0	2
Men	Guldborgsund	2017	1987	29	0.330	0.104	0.354	0.000	0.031	0.080	0.010	0.052	0.000	0.038	95	30	102	0	9	23	3	15	0	11
Men	Haderslev	2017	1987	29	0.270	0.100	0.437	0.000	0.037	0.089	0.011	0.041	0.000	0.015	73	27	118	0	10	24	3	11	0	4
Men	Halsnæs	2017	1987	29	0.308	0.075	0.425	0.000	0.058	0.050	0.000	0.033	0.000	0.050	37	9	51	0	7	6	0	4	0	6
Men	Hedensted	2017	1987	29	0.251	0.076	0.445	0.000	0.047	0.071	0.005	0.052	0.000	0.052	53	16	94	0	10	15	1	11	0	11
Men	Helsingør	2017	1987	29	0.276	0.092	0.356	0.000	0.040	0.108	0.012	0.100	0.000	0.016	69	23	89	0	10	27	3	25	0	4
Men	Herlev	2017	1987	29	0.247	0.113	0.267	0.000	0.020	0.140	0.033	0.147	0.000	0.033	37	17	40	0	3	21	5	22	0	5
Men	Herning	2017	1987	29	0.210	0.081	0.383	0.005	0.076	0.115	0.009	0.081	0.004	0.036	117	45	213	3	42	64	5	45	2	20
Men	Hillerød	2017	1987	29	0.195	0.051	0.316	0.000	0.084	0.163	0.009	0.116	0.005	0.060	42	11	68	0	18	35	2	25	1	13
Men	Hjørring	2017	1987	29	0.272	0.054	0.434	0.003	0.045	0.078	0.015	0.069	0.003	0.027	91	18	145	1	15	26	5	23	1	9
Men	Holbæk	2017	1987	29	0.333	0.065	0.401	0.000	0.039	0.084	0.016	0.049	0.000	0.013	103	20	124	0	12	26	5	15	0	4
Men	Holstebro	2017	1987	29	0.249	0.085	0.394	0.003	0.068	0.119	0.011	0.054	0.003	0.014	88	30	139	1	24	42	4	19	1	5
Men	Horsens	2017	1987	29	0.241	0.082	0.371	0.007	0.055	0.136	0.014	0.055	0.002	0.036	135	46	208	4	31	76	8	31	1	20
Men	Hvidovre	2017	1987	29	0.251	0.111	0.347	0.000	0.041	0.079	0.044	0.105	0.003	0.020	86	38	119	0	14	27	15	36	1	7
Men	Høje-Taastrup	2017	1987	29	0.264	0.110	0.286	0.000	0.072	0.101	0.022	0.082	0.009	0.053	84	35	91	0	23	32	7	26	3	17
Men	Hørsholm	2017	1987	29	0.197	0.158	0.237	0.000	0.079	0.079	0.013	0.211	0.000	0.026	15	12	18	0	6	6	1	16	0	2
Men	Ikast-Brande	2017	1987	29	0.264	0.053	0.399	0.014	0.077	0.087	0.005	0.043	0.010	0.048	55	11	83	3	16	18	1	9	2	10
Men	Ishøj	2017	1987	29	0.200	0.140	0.293	0.000	0.067	0.107	0.013	0.133	0.000	0.047	30	21	44	0	10	16	2	20	0	7
Men	Jammerbugt	2017	1987	29	0.311	0.071	0.415	0.005	0.038	0.066	0.011	0.033	0.000	0.049	57	13	76	1	7	12	2	6	0	9
Men	Kalundborg	2017	1987	29	0.343	0.043	0.448	0.000	0.029	0.043	0.014	0.048	0.005	0.029	72	9	94	0	6	9	3	10	1	6
