Age	Gender	Region	H10 Primary education	H15 Preparatory courses	H20 Upper secondary education	"H29 Vocational Education and Training (VET), basic course"	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	H40 Short cycle higher education	H50 Vocational bachelors educations	H60 Bachelors programmes	H70 Masters programmes	H80 PhD programmes	H90 Not stated
15	Men	All Denmark	0.976123	0	0.009873	0.000488	0	0	0	0	0	0	0	0.013515
15	Women	All Denmark	0.000488	0	0.009873	0.976123	0	0	0	0	0	0	0	0.013515
15	All	All Denmark	0.000488	0	0.009873	0.976123	0	0	0	0	0	0	0	0.013515
15	Men	South	0.976123	0	0.009873	0.000488	0	0	0	0	0	0	0	0.013515
15	Women	South	0.000488	0	0.009873	0.976123	0	0	0	0	0	0	0	0.013515
15	All	South	0.000488	0	0	0.976123	0	0	0.009873	0	0	0	0	0.013515
16	Men	All Denmark	0.56603	0.000544	0.332851	0.039305	0.003923	0	0	0	0.000029	0	0	0.057318
16	Women	All Denmark	0.56603	0.000544	0.332851	0.039305	0.003923	0	0	0	0.000029	0	0	0.057318
16	All	All Denmark	0.56603	0.000544	0.332851	0.039305	0.003923	0	0	0	0.000029	0	0	0.057318
16	Men	South	0.56603	0.000544	0.332851	0.039305	0.003923	0	0	0	0.000029	0	0	0.057318
16	Women	South	0.56603	0.000544	0.332851	0.039305	0.003923	0	0	0	0.000029	0	0	0.057318
16	All	South	0.56603	0.000544	0	0.039305	0.003923	0	0.332851	0	0.000029	0	0	0.057318
17	Men	All Denmark	0.126971	0.007147	0.640514	0.08907	0.038189	0	0	0.000014	0.000014	0	0	0.09808
17	Women	All Denmark	0.126971	0.007147	0.640514	0.08907	0.038189	0	0	0.000014	0.000014	0	0	0.09808
17	All	All Denmark	0.126971	0.007147	0.640514	0.08907	0.038189	0	0	0.000014	0.000014	0	0	0.09808
17	Men	South	0.126971	0.007147	0.640514	0.08907	0.038189	0	0	0.000014	0.000014	0	0	0.09808
17	Women	South	0.126971	0.007147	0.640514	0.08907	0.038189	0	0	0.000014	0.000014	0	0	0.09808
17	All	South	0.126971	0.007147	0	0.08907	0.038189	0	0.640514	0.000014	0.000014	0	0	0.09808
18	Men	All Denmark	0.01377	0.020183	0.657568	0.037439	0.107216	0.000014	0.000557	0.000571	0.0019	0	0	0.160782
18	Women	All Denmark	0.01377	0.020183	0.657568	0.037439	0.107216	0.000014	0.000557	0.000571	0.0019	0	0	0.160782
18	All	All Denmark	0.01377	0.020183	0.657568	0.037439	0.107216	0.000014	0.000557	0.000571	0.0019	0	0	0.160782
18	Men	South	0.01377	0.020183	0.657568	0.037439	0.107216	0.000014	0.000557	0.000571	0.0019	0	0	0.160782
18	Women	South	0.01377	0.020183	0.657568	0.037439	0.107216	0.000014	0.000557	0.000571	0.0019	0	0	0.160782
18	All	South	0.01377	0.020183	0	0.037439	0.107216	0.000014	0.000557	0.000571	0.0019	0.657568	0	0.160782
19	Men	All Denmark	0.00377	0.024598	0.347155	0.004705	0.138551	0.000248	0.0078	0.012684	0.035701	0	0	0.424788
19	Women	All Denmark	0.00377	0.024598	0.347155	0.004705	0.138551	0.000248	0.0078	0.012684	0.035701	0	0	0.424788
19	All	All Denmark	0.00377	0.024598	0.347155	0.004705	0.138551	0.000248	0.0078	0.012684	0.035701	0	0	0.424788
19	Men	South	0.00377	0.024598	0.347155	0.004705	0.138551	0.000248	0.0078	0.012684	0.035701	0	0	0.424788
19	Women	South	0.00377	0.024598	0.347155	0.004705	0.138551	0.000248	0.0078	0.012684	0.035701	0	0	0.424788
19	All	South	0.00377	0.024598	0.347155	0.004705	0.138551	0.000248	0.0078	0.012684	0.035701	0	0	0.424788
20	Men	All Denmark	0.001556	0.019525	0.069114	0.001328	0.145644	0.000416	0.026779	0.048664	0.11739	0.000067	0	0.569517
20	Women	All Denmark	0.001556	0.019525	0.069114	0.001328	0.145644	0.000416	0.026779	0.048664	0.11739	0.000067	0	0.569517
20	All	All Denmark	0.001556	0.019525	0.069114	0.001328	0.145644	0.000416	0.026779	0.048664	0.11739	0.000067	0	0.569517
20	Men	South	0.001556	0.019525	0.069114	0.001328	0.145644	0.000416	0.026779	0.048664	0.11739	0.000067	0	0.569517
20	Women	South	0.001556	0.019525	0.069114	0.001328	0.145644	0.000416	0.026779	0.048664	0.11739	0.000067	0	0.569517
20	All	South	0.001556	0.019525	0.069114	0.001328	0.145644	0.000416	0.026779	0.048664	0.11739	0.000067	0	0.569517
21	Men	All Denmark	0.0014	0.010704	0.020708	0.000878	0.123882	0.000866	0.042919	0.104	0.192269	0.001438	0	0.500936
21	Women	All Denmark	0.0014	0.010704	0.020708	0.000878	0.123882	0.000866	0.042919	0.104	0.192269	0.001438	0	0.500936
21	All	All Denmark	0.0014	0.010704	0.020708	0.000878	0.123882	0.000866	0.042919	0.104	0.192269	0.001438	0	0.500936
21	Men	South	0.0014	0.010704	0.020708	0.000878	0.123882	0.000866	0.042919	0.104	0.192269	0.001438	0	0.500936
21	Women	South	0.0014	0.010704	0.020708	0.000878	0.123882	0.000866	0.042919	0.104	0.192269	0.001438	0	0.500936
21	All	South	0.0014	0.010704	0.020708	0.000878	0.123882	0.000866	0.042919	0.104	0.192269	0.001438	0	0.500936
22	Men	All Denmark	0.001202	0.00796	0.012228	0.000388	0.103079	0.001051	0.04562	0.148548	0.204318	0.022791	0.000025	0.452791
22	Women	All Denmark	0.001202	0.00796	0.012228	0.000388	0.103079	0.001051	0.04562	0.148548	0.204318	0.022791	0.000025	0.452791
22	All	All Denmark	0.001202	0.00796	0.012228	0.000388	0.103079	0.001051	0.04562	0.148548	0.204318	0.022791	0.000025	0.452791
22	Men	South	0.001202	0.00796	0.012228	0.000388	0.103079	0.001051	0.04562	0.148548	0.204318	0.022791	0.000025	0.452791
22	Women	South	0.001202	0.00796	0.012228	0.000388	0.103079	0.001051	0.04562	0.148548	0.204318	0.022791	0.000025	0.452791
22	All	South	0.001202	0.00796	0.012228	0.000388	0.103079	0.001051	0.04562	0.148548	0.204318	0.022791	0.000025	0.452791
23	Men	All Denmark	0.001059	0.005587	0.007934	0.000421	0.08532	0.001148	0.037985	0.158675	0.149122	0.076136	0.000102	0.476511
23	Women	All Denmark	0.001059	0.005587	0.007934	0.000421	0.08532	0.001148	0.037985	0.158675	0.149122	0.076136	0.000102	0.476511
23	All	All Denmark	0.001059	0.005587	0.007934	0.000421	0.08532	0.001148	0.037985	0.158675	0.149122	0.076136	0.000102	0.476511
23	Men	South	0.001059	0.005587	0.007934	0.000421	0.08532	0.001148	0.037985	0.158675	0.149122	0.076136	0.000102	0.476511
23	Women	South	0.001059	0.005587	0.007934	0.000421	0.08532	0.001148	0.037985	0.158675	0.149122	0.076136	0.000102	0.476511
23	All	South	0.001059	0.005587	0.007934	0.000421	0.08532	0.001148	0.037985	0.158675	0.149122	0.076136	0.000102	0.476511
24	Men	All Denmark	0.000651	0.003718	0.005571	0.000338	0.071541	0.000814	0.028491	0.139427	0.087552	0.126521	0.00025	0.535126
24	Women	All Denmark	0.000651	0.003718	0.005571	0.000338	0.071541	0.000814	0.028491	0.139427	0.087552	0.126521	0.00025	0.535126
24	All	All Denmark	0.000651	0.003718	0.005571	0.000338	0.071541	0.000814	0.028491	0.139427	0.087552	0.126521	0.00025	0.535126
24	Men	South	0.000651	0.003718	0.005571	0.000338	0.071541	0.000814	0.028491	0.139427	0.087552	0.126521	0.00025	0.535126
24	Women	South	0.000651	0.003718	0.005571	0.000338	0.071541	0.000814	0.028491	0.139427	0.087552	0.126521	0.00025	0.535126
24	All	South	0.000651	0.003718	0.005571	0.000338	0.071541	0.000814	0.028491	0.139427	0.087552	0.126521	0.00025	0.535126
25	Men	All Denmark	0.000452	0.002671	0.00413	0.000323	0.058123	0.000697	0.021835	0.107987	0.052871	0.136635	0.001639	0.612639
25	Women	All Denmark	0.000452	0.002671	0.00413	0.000323	0.058123	0.000697	0.021835	0.107987	0.052871	0.136635	0.001639	0.612639
25	All	All Denmark	0.000452	0.002671	0.00413	0.000323	0.058123	0.000697	0.021835	0.107987	0.052871	0.136635	0.001639	0.612639
25	Men	South	0.000452	0.002671	0.00413	0.000323	0.058123	0.000697	0.021835	0.107987	0.052871	0.136635	0.001639	0.612639
25	Women	South	0.000452	0.002671	0.00413	0.000323	0.058123	0.000697	0.021835	0.107987	0.052871	0.136635	0.001639	0.612639
25	All	South	0.000452	0.002671	0.00413	0.000323	0.058123	0.000697	0.021835	0.107987	0.052871	0.136635	0.001639	0.612639
26	Men	All Denmark	0.000232	0.001341	0.002747	0.000258	0.049254	0.000632	0.018159	0.080181	0.032849	0.115326	0.004346	0.694675
26	Women	All Denmark	0.000232	0.001341	0.002747	0.000258	0.049254	0.000632	0.018159	0.080181	0.032849	0.115326	0.004346	0.694675
26	All	All Denmark	0.000232	0.001341	0.002747	0.000258	0.049254	0.000632	0.018159	0.080181	0.032849	0.115326	0.004346	0.694675
26	Men	South	0.000232	0.001341	0.002747	0.000258	0.049254	0.000632	0.018159	0.080181	0.032849	0.115326	0.004346	0.694675
26	Women	South	0.000232	0.001341	0.002747	0.000258	0.049254	0.000632	0.018159	0.080181	0.032849	0.115326	0.004346	0.694675
26	All	South	0.000232	0.001341	0.002747	0.000258	0.049254	0.000632	0.018159	0.080181	0.032849	0.115326	0.004346	0.694675
27	Men	All Denmark	0.000265	0.000902	0.002426	0.000292	0.043988	0.000517	0.014146	0.061369	0.024328	0.082488	0.007159	0.762121
27	Women	All Denmark	0.000265	0.000902	0.002426	0.000292	0.043988	0.000517	0.014146	0.061369	0.024328	0.082488	0.007159	0.762121
27	All	All Denmark	0.000265	0.000902	0.002426	0.000292	0.043988	0.000517	0.014146	0.061369	0.024328	0.082488	0.007159	0.762121
27	Men	South	0.000265	0.000902	0.002426	0.000292	0.043988	0.000517	0.014146	0.061369	0.024328	0.082488	0.007159	0.762121
27	Women	South	0.000265	0.000902	0.002426	0.000292	0.043988	0.000517	0.014146	0.061369	0.024328	0.082488	0.007159	0.762121
27	All	South	0.000265	0.000902	0.002426	0.000292	0.043988	0.000517	0.014146	0.061369	0.024328	0.082488	0.007159	0.762121
28	Men	All Denmark	0.000232	0.000368	0.0018	0.000218	0.038372	0.000655	0.010786	0.04969	0.017332	0.055649	0.011154	0.813743
28	Women	All Denmark	0.000232	0.000368	0.0018	0.000218	0.038372	0.000655	0.010786	0.04969	0.017332	0.055649	0.011154	0.813743
28	All	All Denmark	0.000232	0.000368	0.0018	0.000218	0.038372	0.000655	0.010786	0.04969	0.017332	0.055649	0.011154	0.813743
28	Men	South	0.000232	0.000368	0.0018	0.000218	0.038372	0.000655	0.010786	0.04969	0.017332	0.055649	0.011154	0.813743
28	Women	South	0.000232	0.000368	0.0018	0.000218	0.038372	0.000655	0.010786	0.04969	0.017332	0.055649	0.011154	0.813743
28	All	South	0.000232	0.000368	0.0018	0.000218	0.038372	0.000655	0.010786	0.04969	0.017332	0.055649	0.011154	0.813743
29	Men	All Denmark	0.000057	0.000299	0.001237	0.000228	0.034781	0.00054	0.009641	0.038122	0.013125	0.037028	0.01257	0.852373
29	Women	All Denmark	0.000057	0.000299	0.001237	0.000228	0.034781	0.00054	0.009641	0.038122	0.013125	0.037028	0.01257	0.852373
29	All	All Denmark	0.000057	0.000299	0.001237	0.000228	0.034781	0.00054	0.852373	0.038122	0.013125	0.037028	0.01257	0.009641
29	Men	South	0.000057	0.000299	0.001237	0.000228	0.034781	0.00054	0.009641	0.038122	0.013125	0.037028	0.01257	0.852373
29	Women	South	0.000057	0.000299	0.001237	0.000228	0.034781	0.00054	0.009641	0.038122	0.013125	0.037028	0.01257	0.852373
29	All	South	0.000057	0.000299	0.001237	0.000228	0.034781	0.00054	0.852373	0.038122	0.013125	0.037028	0.01257	0.009641
