sex	age	time	region	H10 Primary education	H15 Preparatory courses	H20 Upper secondary education	"H29 Vocational Education and Training (VET), basic course"	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	H40 Short cycle higher education	H50 Vocational bachelors educations	H60 Bachelors programmes	H70 Masters programmes	H80 PhD programmes	H90 Not in education
Men	18	2006	All Denmark	0.00974	0.00061	0.43732	0.13158	0.16954	0.00042	0.00045	0.00045	0.00116	0.00000	0.00000	0.24872
Men	18	2006	Region Hovedstaden	0.00921	0.00100	0.47556	0.11071	0.13646	0.00000	0.00075	0.00087	0.00261	0.00000	0.00000	0.26284
Men	18	2006	Region Midtjylland	0.01022	0.00000	0.44531	0.12423	0.17627	0.00041	0.00027	0.00068	0.00041	0.00000	0.00000	0.24220
Men	18	2006	Region Nordjylland	0.00962	0.00000	0.39929	0.15801	0.19154	0.00082	0.00027	0.00000	0.00110	0.00000	0.00000	0.23935
Men	18	2006	Region Sjælland	0.01169	0.00000	0.41433	0.14349	0.17262	0.00000	0.00021	0.00021	0.00128	0.00000	0.00000	0.25616
Men	18	2006	Region Syddanmark	0.00864	0.00153	0.42067	0.14125	0.18652	0.00098	0.00056	0.00014	0.00028	0.00000	0.00000	0.23945
Men	19	2007	All Denmark	0.00242	0.00084	0.26098	0.06665	0.22271	0.00084	0.00461	0.00506	0.02389	0.00003	0.00000	0.41198
Men	19	2007	Region Hovedstaden	0.00360	0.00108	0.23066	0.06139	0.17347	0.00048	0.00372	0.00769	0.05262	0.00012	0.00000	0.46516
Men	19	2007	Region Midtjylland	0.00256	0.00040	0.30689	0.05301	0.22946	0.00135	0.00540	0.00378	0.01430	0.00000	0.00000	0.38284
Men	19	2007	Region Nordjylland	0.00139	0.00028	0.24404	0.07729	0.26343	0.00166	0.00443	0.00360	0.02022	0.00000	0.00000	0.38366
Men	19	2007	Region Sjælland	0.00264	0.00000	0.23709	0.08196	0.23995	0.00000	0.00549	0.00483	0.01384	0.00000	0.00000	0.41419
Men	19	2007	Region Syddanmark	0.00126	0.00183	0.27248	0.07181	0.24157	0.00084	0.00436	0.00422	0.00857	0.00000	0.00000	0.39306
Men	20	2008	All Denmark	0.00092	0.00123	0.05742	0.03661	0.21767	0.00161	0.01646	0.02040	0.08439	0.00009	0.00000	0.56320
Men	20	2008	Region Hovedstaden	0.00176	0.00088	0.05253	0.03253	0.15527	0.00066	0.01637	0.02659	0.15429	0.00033	0.00000	0.55879
Men	20	2008	Region Midtjylland	0.00129	0.00039	0.06521	0.02756	0.23160	0.00181	0.01643	0.02212	0.07427	0.00000	0.00000	0.55932
Men	20	2008	Region Nordjylland	0.00000	0.00055	0.05299	0.04234	0.25840	0.00273	0.01557	0.01229	0.08304	0.00000	0.00000	0.53210
Men	20	2008	Region Sjælland	0.00046	0.00000	0.05349	0.05119	0.23749	0.00000	0.01453	0.01568	0.02513	0.00000	0.00000	0.60203
