Age	H10 Primary education	H15 Preparatory courses	H20 Upper secondary education	"H29 Vocational Education and Training (VET), basic course"	H30 Vocational Education and Training (VET)	H35 Qualifying educational programmes	H40 Short cycle higher education	H50 Vocational bachelors educations	H60 Bachelors programmes	H70 Masters programmes	H80 PhD programmes	H90 Not stated
15	0.976123	0.000000	0.009873	0.000488	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.013515
16	0.566030	0.000544	0.332851	0.039305	0.003923	0.000000	0.000000	0.000000	0.000029	0.000000	0.000000	0.057318
17	0.126971	0.007147	0.640514	0.089070	0.038189	0.000000	0.000000	0.000014	0.000014	0.000000	0.000000	0.098080
18	0.013770	0.020183	0.657568	0.037439	0.107216	0.000014	0.000557	0.000571	0.001900	0.000000	0.000000	0.160782
19	0.003770	0.024598	0.347155	0.004705	0.138551	0.000248	0.007800	0.012684	0.035701	0.000000	0.000000	0.424788
20	0.001556	0.019525	0.069114	0.001328	0.145644	0.000416	0.026779	0.048664	0.117390	0.000067	0.000000	0.569517
21	0.001400	0.010704	0.020708	0.000878	0.123882	0.000866	0.042919	0.104000	0.192269	0.001438	0.000000	0.500936
22	0.001202	0.007960	0.012228	0.000388	0.103079	0.001051	0.045620	0.148548	0.204318	0.022791	0.000025	0.452791
23	0.001059	0.005587	0.007934	0.000421	0.085320	0.001148	0.037985	0.158675	0.149122	0.076136	0.000102	0.476511
24	0.000651	0.003718	0.005571	0.000338	0.071541	0.000814	0.028491	0.139427	0.087552	0.126521	0.000250	0.535126
25	0.000452	0.002671	0.004130	0.000323	0.058123	0.000697	0.021835	0.107987	0.052871	0.136635	0.001639	0.612639
26	0.000232	0.001341	0.002747	0.000258	0.049254	0.000632	0.018159	0.080181	0.032849	0.115326	0.004346	0.694675
27	0.000265	0.000902	0.002426	0.000292	0.043988	0.000517	0.014146	0.061369	0.024328	0.082488	0.007159	0.762121
28	0.000232	0.000368	0.001800	0.000218	0.038372	0.000655	0.010786	0.049690	0.017332	0.055649	0.011154	0.813743
29	0.000057	0.000299	0.001237	0.000228	0.034781	0.000540	0.009641	0.038122	0.013125	0.037028	0.012570	0.852373
